"Golf Plus Toulouse","25 route de Toulouse<br>Seilh<br>31840",43.677298,1.36437
"CARRE GOLF / GOLF TRADITION","34 bis rue du Golf<br>Billiere<br>64140",43.298908,-0.391503
"Golf de la Ramée","Ferme du cousturier<br>Tournefeuille<br>31170",43.575591,1.363935
"Golf de Téoula","71 av des Landes<br>Plaisance du Touch<br>31830",43.554755,1.253581
"GOLF PLUS PEREIRE","212 BOULEVARD PEREIRE<br>PARIS<br>75017",48.8796400,2.2869976
"INESIS GOLF PARK","CHEMIN POIVRE<br>MARCQ EN BAROEUL<br>59700",50.688772,3.104244
"ESPRIT GOLF","34 Rue Paul Cesanne<br>Parc des Collines<br>MULHOUSE<br>68200",47.752089,7.303500
"CARRE GOLF COTE DE BEAUTE","4 BIS AV. PAUL EMILE VICTOR<br>ZA POLE DU VAL LUMIERE<br>VAUX SUR MER<br>17640",45.6255779,-1.0269139
"GOLF DES OLONNES","Route de la Pierre Lev&eacute;e<br>OLONNE SUR MER<br>85340",46.5368554,-1.7736650
"Golf Plus Bordeaux","6 Avenue Jean Mermoz<br>Le Haillan<br>33183",44.860067,-0.666475
"GOLF PLUS LILLE","Parc d&#039;activit&eacute; de la Pilateri<br>Rue des Champs<br>Wasquehal<br>59290",50.6692825,3.1293805
"GOLF ONE 40","97 AV DES REMOULEURS<br>SOORTS-HOSSEGOR<br>40150",43.6599047,-1.4277237
"SARL XP / COULEUR GOLF","1200 CHEMIN DE SAINT PIERRE<br>MONTAUBAN<br>82000",44.0175746,1.3589145
"DECATHLON MERIGNAC","DOMAINE DE PELUS<br>AVENU DE L&#039;ARGONNE<br>MERIGNAC<br>33700",44.8290889,-0.7027790
"DECATHLON BORDEAUX LAC","UE DES 40 JOURNAUX<br>BORDEAUX LAC<br>33300",44.8853383,-0.5766203
"GOLF A PAR","34 - 36 AVENUE DE COURNON<br>AUBIERE<br>63170",45.7506626,3.1114470
"GOLF PLUS LYON","51 COURS VITTON<br>LYON<br>69006",45.7698280,4.8561441
"GOLF DU VAUDREUIL","26 AV MARC DE LA HAYE<br>LE VAUDREUIL<br>27100",49.2588166,1.2101009
"GOLF BARRIERE DE SAINT JULIEN","GOLF DE SAINT JULIEN LA BRIQUETERIE<br>SAINT JULIEN SUR CALONNE<br>14130",49.2901425,0.2279072
"DECATHLON HERBLAY","12 MAIL DES COPISTES<br>HERBLAY<br>95222",48.9908304,2.1675220
"GOLF SHOP COTE D'OPALE","66 ROUTE NATIONALE<br>ISQUES<br>62360",50.6724564,1.6495287
"GOLF D'ARRAS","RUE BRIQUET TAILLANDIER<br>ANZIN ST AUBIN<br>62223",50.3135890,2.7500930
SWINGOLF,"2 AVENUE DE LOCARNO<br>FORUM DES BENEDICTINS<br>LIMOGES<br>87000",45.8333641,1.2689558
"GOLFPRO SHOP NAILLOUX","Nailloux Fashion Village<br>Village des Marques<br>Nailloux<br>31560",43.3273055,1.6469253000000208
"CARRE GOLF","RN 13<br>10/14 Avenue<br>G&eacute;n&eacute;ral Leclerc<br>Le Pecq<br>78230",48.887831,2.101257
"BOSQUET GOLF","47 AVENUE BOSQUET. PARIS<br>75007",48.8575318,2.3043750
"IDEES GOLF","12 Avenue de la Lib&eacute;ration<br>MONTBRISON<br>42600",45.60374,4.06949
"Decathlon MADELEINE","23 boulevard de la Madeleine Centre commercial<br>Les Trois Quartiers<br>Paris<br>75008",48.86998,2.325604
"GOLF DE ROSNY SOUS BOIS","NGF ILE DE FRANCE EST 12 Rue Raspail<br>ROSNY<br>SOUS BOIS<br>93110",48.876232,2.47304
"Golf de Valence Chanalets","Pro Shop<br>Les Chanalets<br>Bourg les Valences<br>26500",44.977519,4.90973
"US GOLF CANNES","1300 Avenue de Campon<br>Le Cannet<br>06110",43.573675,7.014771
"GOLF EXACTITUDE","110 Boulevard Henri Sellier<br>Suresnes<br>92150",48.864715,2.218745
